developer,mensaje
Simogo,"Simogo : Negative = 3, Neutral = 3, Positive = 1"
Simon Roth,"Simon Roth : Negative = 0, Neutral = 0, Positive = 1"
Sixteen Tons Entertainment,"Sixteen Tons Entertainment : Negative = 3, Neutral = 0, Positive = 0"
Size Five Games,"Size Five Games : Negative = 0, Neutral = 0, Positive = 1"
Skinny Jean Death Studios,"Skinny Jean Death Studios : Negative = 0, Neutral = 0, Positive = 1"
Skobbejak Games,"Skobbejak Games : Negative = 1, Neutral = 1, Positive = 0"
Sky Drake Studios,"Sky Drake Studios : Negative = 1, Neutral = 0, Positive = 0"
Sky Fallen,"Sky Fallen : Negative = 0, Neutral = 0, Positive = 1"
"SkyBox Labs,Big Huge Games","SkyBox Labs,Big Huge Games : Negative = 10, Neutral = 4, Positive = 3"
"SkyBox Labs,Forgotten Empires","SkyBox Labs,Forgotten Empires : Negative = 1, Neutral = 0, Positive = 0"
"Skybox Labs,Hidden Path Entertainment,Ensemble Studios","Skybox Labs,Hidden Path Entertainment,Ensemble Studios : Negative = 50, Neutral = 13, Positive = 18"
Slant Six Games,"Slant Six Games : Negative = 1, Neutral = 3, Positive = 0"
"Sledgehammer Games,Raven Software","Sledgehammer Games,Raven Software : Negative = 36, Neutral = 24, Positive = 11"
Slightly Mad Studios,"Slightly Mad Studios : Negative = 2, Neutral = 2, Positive = 1"
Smack Down Productions,"Smack Down Productions : Negative = 0, Neutral = 0, Positive = 1"
Smartly Dressed Games,"Smartly Dressed Games : Negative = 476, Neutral = 181, Positive = 259"
SmashGames,"SmashGames : Negative = 30, Neutral = 6, Positive = 3"
Smashball Labs LLC,"Smashball Labs LLC : Negative = 0, Neutral = 1, Positive = 0"
Smoking WOLF,"Smoking WOLF : Negative = 3, Neutral = 1, Positive = 1"
Smolders,"Smolders : Negative = 1, Neutral = 0, Positive = 0"
Smudged Cat Games Ltd,"Smudged Cat Games Ltd : Negative = 2, Neutral = 1, Positive = 0"
Snails Animation,"Snails Animation : Negative = 1, Neutral = 0, Positive = 1"
Snapshot Games Inc.,"Snapshot Games Inc. : Negative = 3, Neutral = 1, Positive = 0"
Snowbird Games,"Snowbird Games : Negative = 1, Neutral = 1, Positive = 0"
Snowblind Studios,"Snowblind Studios : Negative = 11, Neutral = 2, Positive = 2"
Soccer Manager Ltd,"Soccer Manager Ltd : Negative = 1, Neutral = 0, Positive = 0"
Social Loner Studios,"Social Loner Studios : Negative = 1, Neutral = 0, Positive = 0"
SoftStar,"SoftStar : Negative = 1, Neutral = 0, Positive = 0"
Solest Games,"Solest Games : Negative = 0, Neutral = 0, Positive = 1"
"Soloweb Studios,Ravens Eye Studio","Soloweb Studios,Ravens Eye Studio : Negative = 1, Neutral = 1, Positive = 0"
Sometimes You,"Sometimes You : Negative = 1, Neutral = 1, Positive = 2"
Somi,"Somi : Negative = 1, Neutral = 1, Positive = 0"
Sonic Team,"Sonic Team : Negative = 4, Neutral = 0, Positive = 0"
Sos,"Sos : Negative = 8, Neutral = 5, Positive = 4"
South East Games,"South East Games : Negative = 5, Neutral = 1, Positive = 2"
Southend,"Southend : Negative = 1, Neutral = 0, Positive = 0"
Soviet Games,"Soviet Games : Negative = 10, Neutral = 2, Positive = 3"
Space Boat Studios,"Space Boat Studios : Negative = 1, Neutral = 0, Positive = 2"
Space Budgie,"Space Budgie : Negative = 1, Neutral = 0, Positive = 1"
"Space Cat Studios,SnowFlame,Back To Basics Gaming","Space Cat Studios,SnowFlame,Back To Basics Gaming : Negative = 4, Neutral = 1, Positive = 3"
Spaces of Play,"Spaces of Play : Negative = 1, Neutral = 0, Positive = 0"
Spark Unlimited,"Spark Unlimited : Negative = 4, Neutral = 0, Positive = 2"
"Sparpweed,Codeglue","Sparpweed,Codeglue : Negative = 4, Neutral = 0, Positive = 1"
Spasman Games,"Spasman Games : Negative = 8, Neutral = 2, Positive = 3"
Spearhead Games,"Spearhead Games : Negative = 3, Neutral = 1, Positive = 1"
Spectral Games,"Spectral Games : Negative = 1, Neutral = 0, Positive = 0"
Spellbound Studios,"Spellbound Studios : Negative = 0, Neutral = 0, Positive = 1"
Spicy Horse,"Spicy Horse : Negative = 1, Neutral = 0, Positive = 0"
Spicy Tails,"Spicy Tails : Negative = 2, Neutral = 0, Positive = 1"
Spicyhorse Games,"Spicyhorse Games : Negative = 2, Neutral = 0, Positive = 1"
Spiderling Studios,"Spiderling Studios : Negative = 41, Neutral = 7, Positive = 15"
Spidermonk Entertainment,"Spidermonk Entertainment : Negative = 2, Neutral = 0, Positive = 1"
Spiders,"Spiders : Negative = 1, Neutral = 1, Positive = 1"
Spiderweb Software,"Spiderweb Software : Negative = 1, Neutral = 0, Positive = 0"
Splash Damage,"Splash Damage : Negative = 78, Neutral = 35, Positive = 26"
Split Polygon,"Split Polygon : Negative = 1, Neutral = 0, Positive = 0"
Spooky Squid Games Inc.,"Spooky Squid Games Inc. : Negative = 2, Neutral = 1, Positive = 1"
Sproing,"Sproing : Negative = 2, Neutral = 0, Positive = 0"
Spry Fox LLC,"Spry Fox LLC : Negative = 0, Neutral = 0, Positive = 1"
Squad,"Squad : Negative = 89, Neutral = 15, Positive = 27"
Square Enix,"Square Enix : Negative = 53, Neutral = 12, Positive = 10"
"Square Enix,DotEmu SAS.","Square Enix,DotEmu SAS. : Negative = 2, Neutral = 0, Positive = 0"
Stage 2 Studios,"Stage 2 Studios : Negative = 1, Neutral = 2, Positive = 0"
Stainless Games,"Stainless Games : Negative = 11, Neutral = 5, Positive = 5"
Stainless Games Ltd,"Stainless Games Ltd : Negative = 2, Neutral = 0, Positive = 0"
Stainless Games Ltd.,"Stainless Games Ltd. : Negative = 11, Neutral = 2, Positive = 0"
Stamina-Games,"Stamina-Games : Negative = 0, Neutral = 0, Positive = 2"
"Standing Stone Games, LLC","Standing Stone Games, LLC : Negative = 14, Neutral = 2, Positive = 6"
Star Gem Inc.,"Star Gem Inc. : Negative = 22, Neutral = 9, Positive = 4"
Star Vault AB,"Star Vault AB : Negative = 1, Neutral = 1, Positive = 0"
StarQuail Games,"StarQuail Games : Negative = 1, Neutral = 0, Positive = 0"
Starbreeze,"Starbreeze : Negative = 3, Neutral = 2, Positive = 3"
Starbreeze Studios AB,"Starbreeze Studios AB : Negative = 26, Neutral = 5, Positive = 4"
Stardock Entertainment,"Stardock Entertainment : Negative = 10, Neutral = 1, Positive = 1"
State of Play Games,"State of Play Games : Negative = 0, Neutral = 1, Positive = 0"
Stately Snail,"Stately Snail : Negative = 1, Neutral = 0, Positive = 0"
Steel Monkeys,"Steel Monkeys : Negative = 3, Neutral = 0, Positive = 2"
Stegersaurus Software Inc.,"Stegersaurus Software Inc. : Negative = 7, Neutral = 4, Positive = 8"
StephenAllen,"StephenAllen : Negative = 1, Neutral = 0, Positive = 0"
Still Running,"Still Running : Negative = 1, Neutral = 0, Positive = 0"
Stoic,"Stoic : Negative = 8, Neutral = 0, Positive = 1"
Stolen Couch Games,"Stolen Couch Games : Negative = 1, Neutral = 0, Positive = 1"
Stone Blade Entertainment,"Stone Blade Entertainment : Negative = 1, Neutral = 0, Positive = 0"
Storybird,"Storybird : Negative = 1, Neutral = 0, Positive = 1"
Stout Games,"Stout Games : Negative = 5, Neutral = 1, Positive = 0"
Straight Right,"Straight Right : Negative = 1, Neutral = 1, Positive = 1"
Strange Fire,"Strange Fire : Negative = 3, Neutral = 1, Positive = 0"
Strange Loop Games,"Strange Loop Games : Negative = 0, Neutral = 1, Positive = 0"
Strategy First,"Strategy First : Negative = 1, Neutral = 1, Positive = 0"
Streum On Studio,"Streum On Studio : Negative = 9, Neutral = 2, Positive = 3"
Stridemann,"Stridemann : Negative = 13, Neutral = 5, Positive = 5"
Strike Games,"Strike Games : Negative = 2, Neutral = 0, Positive = 0"
Studio Bean,"Studio Bean : Negative = 1, Neutral = 0, Positive = 0"
Studio Eres,"Studio Eres : Negative = 1, Neutral = 0, Positive = 0"
Studio Fizbin,"Studio Fizbin : Negative = 3, Neutral = 0, Positive = 0"
Studio Pixel,"Studio Pixel : Negative = 2, Neutral = 1, Positive = 0"
Studio Whisky Tango Inc.,"Studio Whisky Tango Inc. : Negative = 1, Neutral = 0, Positive = 0"
"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC","Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC : Negative = 110, Neutral = 50, Positive = 35"
StudioGIW,"StudioGIW : Negative = 0, Neutral = 1, Positive = 0"
Stunlock Studios,"Stunlock Studios : Negative = 1, Neutral = 0, Positive = 0"
Stygian Software,"Stygian Software : Negative = 2, Neutral = 0, Positive = 0"
Subatomic Studios LLC,"Subatomic Studios LLC : Negative = 1, Neutral = 1, Positive = 0"
Subset Games,"Subset Games : Negative = 95, Neutral = 33, Positive = 9"
Subsoap,"Subsoap : Negative = 6, Neutral = 0, Positive = 1"
Subvert Games,"Subvert Games : Negative = 1, Neutral = 0, Positive = 0"
Sumo Digital,"Sumo Digital : Negative = 16, Neutral = 1, Positive = 18"
Sun-Studios,"Sun-Studios : Negative = 1, Neutral = 0, Positive = 0"
Sunlight Games,"Sunlight Games : Negative = 0, Neutral = 1, Positive = 0"
SuperVillain Studios,"SuperVillain Studios : Negative = 4, Neutral = 1, Positive = 4"
Supergiant Games,"Supergiant Games : Negative = 87, Neutral = 8, Positive = 11"
Suspicious Developments,"Suspicious Developments : Negative = 43, Neutral = 6, Positive = 5"
Sweet Dog Studios,"Sweet Dog Studios : Negative = 1, Neutral = 1, Positive = 0"
Swing Swing Submarine,"Swing Swing Submarine : Negative = 3, Neutral = 0, Positive = 0"
Switchblade Monkeys Entertainment,"Switchblade Monkeys Entertainment : Negative = 1, Neutral = 3, Positive = 1"
Synergy Team,"Synergy Team : Negative = 17, Neutral = 4, Positive = 4"
T3 Entertainment,"T3 Entertainment : Negative = 1, Neutral = 0, Positive = 0"
TB Games,"TB Games : Negative = 9, Neutral = 3, Positive = 1"
TERC,"TERC : Negative = 3, Neutral = 0, Positive = 0"
TML Studios,"TML Studios : Negative = 0, Neutral = 2, Positive = 0"
TML-Studios,"TML-Studios : Negative = 1, Neutral = 0, Positive = 1"
TORaIKI,"TORaIKI : Negative = 2, Neutral = 0, Positive = 0"
"TT Fusion,Traveller's Tales,Feral Interactive (Mac)","TT Fusion,Traveller's Tales,Feral Interactive (Mac) : Negative = 2, Neutral = 2, Positive = 1"
TT Games,"TT Games : Negative = 3, Neutral = 1, Positive = 2"
"TT Games Ltd,Feral Interactive (Mac)","TT Games Ltd,Feral Interactive (Mac) : Negative = 4, Neutral = 2, Positive = 1"
"TT Games,Traveller's Tales","TT Games,Traveller's Tales : Negative = 3, Neutral = 4, Positive = 4"
TURBOGUN,"TURBOGUN : Negative = 2, Neutral = 0, Positive = 0"
Talawa Games,"Talawa Games : Negative = 1, Neutral = 0, Positive = 0"
Tale of Tales,"Tale of Tales : Negative = 0, Neutral = 0, Positive = 2"
TaleWorlds Entertainment,"TaleWorlds Entertainment : Negative = 136, Neutral = 35, Positive = 34"
"TaleWorlds Entertainment,Flying Squirrel Entertainment","TaleWorlds Entertainment,Flying Squirrel Entertainment : Negative = 3, Neutral = 1, Positive = 1"
Tall Tail Studios,"Tall Tail Studios : Negative = 0, Neutral = 1, Positive = 0"
Tango Gameworks,"Tango Gameworks : Negative = 1, Neutral = 5, Positive = 1"
Targem Games,"Targem Games : Negative = 1, Neutral = 0, Positive = 0"
Tasharen Entertainment Inc.,"Tasharen Entertainment Inc. : Negative = 1, Neutral = 1, Positive = 1"
Tasty Stewdios LLC,"Tasty Stewdios LLC : Negative = 1, Neutral = 0, Positive = 0"
Tate Multimedia,"Tate Multimedia : Negative = 4, Neutral = 1, Positive = 0"
Team 6 Studios,"Team 6 Studios : Negative = 0, Neutral = 3, Positive = 1"
"Team Bondi,Rockstar Leeds","Team Bondi,Rockstar Leeds : Negative = 10, Neutral = 5, Positive = 0"
Team Chivalry,"Team Chivalry : Negative = 5, Neutral = 1, Positive = 3"
Team Eleven Eleven,"Team Eleven Eleven : Negative = 3, Neutral = 0, Positive = 2"
Team Fractal Alligator,"Team Fractal Alligator : Negative = 3, Neutral = 1, Positive = 2"
Team Meat,"Team Meat : Negative = 28, Neutral = 19, Positive = 17"
"Team NINJA,KOEI TECMO GAMES CO., LTD.","Team NINJA,KOEI TECMO GAMES CO., LTD. : Negative = 3, Neutral = 1, Positive = 2"
Team Psykskallar,"Team Psykskallar : Negative = 25, Neutral = 31, Positive = 50"
Team Reptile,"Team Reptile : Negative = 11, Neutral = 3, Positive = 5"
Team17 Digital Ltd,"Team17 Digital Ltd : Negative = 13, Neutral = 10, Positive = 12"
Team17 Software Ltd.,"Team17 Software Ltd. : Negative = 0, Neutral = 0, Positive = 1"
Team6 game studios B.V.,"Team6 game studios B.V. : Negative = 0, Neutral = 1, Positive = 0"
Techland,"Techland : Negative = 65, Neutral = 20, Positive = 12"
Technetium Games,"Technetium Games : Negative = 0, Neutral = 1, Positive = 0"
Teeworlds Team,"Teeworlds Team : Negative = 2, Neutral = 0, Positive = 0"
Telltale Games,"Telltale Games : Negative = 297, Neutral = 118, Positive = 69"
"Tendershoot,A Jolly Corpse","Tendershoot,A Jolly Corpse : Negative = 1, Neutral = 0, Positive = 0"
Tennen-sozai,"Tennen-sozai : Negative = 1, Neutral = 0, Positive = 0"
Teotl Studios,"Teotl Studios : Negative = 0, Neutral = 2, Positive = 0"
"Tequila Works, S.L.","Tequila Works, S.L. : Negative = 11, Neutral = 3, Positive = 5"
Terri Vellmann,"Terri Vellmann : Negative = 2, Neutral = 1, Positive = 0"
Terrible Posture Games,"Terrible Posture Games : Negative = 2, Neutral = 0, Positive = 0"
Terry Cavanagh,"Terry Cavanagh : Negative = 78, Neutral = 54, Positive = 34"
Test3 Projects,"Test3 Projects : Negative = 2, Neutral = 4, Positive = 1"
Teyon,"Teyon : Negative = 1, Neutral = 0, Positive = 0"
The Astronauts,"The Astronauts : Negative = 5, Neutral = 1, Positive = 0"
The Behemoth,"The Behemoth : Negative = 182, Neutral = 50, Positive = 75"
The Binary Mill,"The Binary Mill : Negative = 0, Neutral = 1, Positive = 0"
The Chinese Room,"The Chinese Room : Negative = 3, Neutral = 3, Positive = 4"
The Creative Assembly,"The Creative Assembly : Negative = 14, Neutral = 0, Positive = 3"
"The Creative Assembly,Feral Interactive (Mac)","The Creative Assembly,Feral Interactive (Mac) : Negative = 10, Neutral = 7, Positive = 5"
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)","The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux) : Negative = 39, Neutral = 11, Positive = 7"
The Farm 51,"The Farm 51 : Negative = 4, Neutral = 0, Positive = 2"
The Game Kitchen,"The Game Kitchen : Negative = 1, Neutral = 0, Positive = 0"
The Indie Stone,"The Indie Stone : Negative = 28, Neutral = 14, Positive = 3"
The Men Who Wear Many Hats,"The Men Who Wear Many Hats : Negative = 9, Neutral = 1, Positive = 3"
The Odd Gentlemen,"The Odd Gentlemen : Negative = 3, Neutral = 0, Positive = 1"
The Sims Studio,"The Sims Studio : Negative = 13, Neutral = 5, Positive = 2"
The Working Parts,"The Working Parts : Negative = 2, Neutral = 0, Positive = 0"
Thomas Bowker,"Thomas Bowker : Negative = 6, Neutral = 7, Positive = 2"
Thomas Happ Games LLC,"Thomas Happ Games LLC : Negative = 1, Neutral = 0, Positive = 0"
Threaks,"Threaks : Negative = 1, Neutral = 1, Positive = 0"
Three Rings,"Three Rings : Negative = 2, Neutral = 2, Positive = 0"
TickTock Games,"TickTock Games : Negative = 2, Neutral = 1, Positive = 0"
Tiger Style,"Tiger Style : Negative = 1, Neutral = 0, Positive = 0"
Tigerish Games,"Tigerish Games : Negative = 0, Neutral = 2, Positive = 1"
Tim Sullivan,"Tim Sullivan : Negative = 1, Neutral = 0, Positive = 0"
TimeGate Studios,"TimeGate Studios : Negative = 1, Neutral = 2, Positive = 0"
TimeSymmetry,"TimeSymmetry : Negative = 2, Neutral = 0, Positive = 0"
Tin Man Games,"Tin Man Games : Negative = 1, Neutral = 1, Positive = 0"
Tindalos Interactive,"Tindalos Interactive : Negative = 2, Neutral = 0, Positive = 0"
Tlön Studios,"Tlön Studios : Negative = 0, Neutral = 1, Positive = 1"
"Tlön Studios,Ilex Games","Tlön Studios,Ilex Games : Negative = 1, Neutral = 1, Positive = 2"
ToMorning Productions,"ToMorning Productions : Negative = 1, Neutral = 0, Positive = 0"
"Toadman Interactive,Fatshark","Toadman Interactive,Fatshark : Negative = 0, Neutral = 0, Positive = 1"
Toge Productions,"Toge Productions : Negative = 1, Neutral = 1, Positive = 0"
Tomasz Wacławek,"Tomasz Wacławek : Negative = 2, Neutral = 0, Positive = 0"
"Tomi Maarela,Elias Viglione","Tomi Maarela,Elias Viglione : Negative = 12, Neutral = 3, Positive = 3"
Tomorrow Corporation,"Tomorrow Corporation : Negative = 18, Neutral = 10, Positive = 7"
Topware Interactive ACE,"Topware Interactive ACE : Negative = 0, Neutral = 0, Positive = 2"
Torn Banner Studios,"Torn Banner Studios : Negative = 101, Neutral = 50, Positive = 54"
Totally Games,"Totally Games : Negative = 0, Neutral = 1, Positive = 0"
Touz,"Touz : Negative = 2, Neutral = 2, Positive = 0"
Tragnarion Studios,"Tragnarion Studios : Negative = 1, Neutral = 0, Positive = 0"
Transcendent Games,"Transcendent Games : Negative = 3, Neutral = 1, Positive = 0"
Transhuman Design,"Transhuman Design : Negative = 26, Neutral = 1, Positive = 0"
Trapdoor Inc.,"Trapdoor Inc. : Negative = 0, Neutral = 1, Positive = 0"
Trashmasters,"Trashmasters : Negative = 1, Neutral = 4, Positive = 0"
Trav Nash,"Trav Nash : Negative = 0, Neutral = 1, Positive = 1"
Traveller's Tales,"Traveller's Tales : Negative = 33, Neutral = 7, Positive = 9"
"Traveller's Tales,Feral Interactive (Mac)","Traveller's Tales,Feral Interactive (Mac) : Negative = 5, Neutral = 4, Positive = 0"
Travian Games GmbH,"Travian Games GmbH : Negative = 1, Neutral = 0, Positive = 1"
TreeFortress Games,"TreeFortress Games : Negative = 1, Neutral = 0, Positive = 0"
"Trek Industries, Inc","Trek Industries, Inc : Negative = 68, Neutral = 38, Positive = 33"
Trendy Entertainment,"Trendy Entertainment : Negative = 46, Neutral = 14, Positive = 13"
Trese Brothers,"Trese Brothers : Negative = 1, Neutral = 0, Positive = 0"
Treyarch,"Treyarch : Negative = 167, Neutral = 52, Positive = 54"
Triangle Studios,"Triangle Studios : Negative = 1, Neutral = 0, Positive = 0"
Tribe Studios,"Tribe Studios : Negative = 1, Neutral = 3, Positive = 3"
Tribute Games Inc.,"Tribute Games Inc. : Negative = 2, Neutral = 3, Positive = 0"
Trickstar Games,"Trickstar Games : Negative = 1, Neutral = 0, Positive = 0"
Trinoteam,"Trinoteam : Negative = 0, Neutral = 1, Positive = 0"
Trion Worlds,"Trion Worlds : Negative = 91, Neutral = 23, Positive = 36"
"Trion Worlds, Inc.","Trion Worlds, Inc. : Negative = 21, Neutral = 15, Positive = 11"
Tripwire Interactive,"Tripwire Interactive : Negative = 282, Neutral = 107, Positive = 128"
Triumph Studios,"Triumph Studios : Negative = 1, Neutral = 0, Positive = 0"
"Triumph Studios,Virtual Programming","Triumph Studios,Virtual Programming : Negative = 2, Neutral = 2, Positive = 3"
Troika Games,"Troika Games : Negative = 4, Neutral = 0, Positive = 2"
Tuomo Laine,"Tuomo Laine : Negative = 1, Neutral = 0, Positive = 0"
Turbo Pixel Studios,"Turbo Pixel Studios : Negative = 3, Neutral = 0, Positive = 0"
Turbo Tape Games,"Turbo Tape Games : Negative = 1, Neutral = 0, Positive = 0"
"Turtle Cream,PokPoong Games","Turtle Cream,PokPoong Games : Negative = 1, Neutral = 1, Positive = 0"
Turtle Rock Studios,"Turtle Rock Studios : Negative = 23, Neutral = 18, Positive = 7"
Twice Circled,"Twice Circled : Negative = 0, Neutral = 1, Positive = 0"
Twisted Pixel Games,"Twisted Pixel Games : Negative = 1, Neutral = 0, Positive = 0"
Two Tribes,"Two Tribes : Negative = 11, Neutral = 1, Positive = 1"
"Ty Taylor and Mario Castañeda,The Quantum Astrophysicists Guild","Ty Taylor and Mario Castañeda,The Quantum Astrophysicists Guild : Negative = 5, Neutral = 2, Positive = 0"
"UBIart Montpellier,Feral Interactive (Mac)","UBIart Montpellier,Feral Interactive (Mac) : Negative = 3, Neutral = 0, Positive = 0"
Uber Entertainment,"Uber Entertainment : Negative = 24, Neutral = 13, Positive = 13"
Ubisoft,"Ubisoft : Negative = 50, Neutral = 41, Positive = 9"
Ubisoft  Shanghaï,"Ubisoft  Shanghaï : Negative = 0, Neutral = 1, Positive = 0"
Ubisoft - San Francisco,"Ubisoft - San Francisco : Negative = 7, Neutral = 4, Positive = 2"
Ubisoft Montpellier,"Ubisoft Montpellier : Negative = 21, Neutral = 8, Positive = 3"
Ubisoft Montreal,"Ubisoft Montreal : Negative = 100, Neutral = 43, Positive = 40"
"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai","Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai : Negative = 75, Neutral = 22, Positive = 23"
"Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev","Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev : Negative = 18, Neutral = 6, Positive = 8"
Ubisoft Montréal,"Ubisoft Montréal : Negative = 6, Neutral = 4, Positive = 1"
"Ubisoft Paris,Red Storm Entertainment","Ubisoft Paris,Red Storm Entertainment : Negative = 1, Neutral = 0, Positive = 1"
"Ubisoft Quebec, in collaboration with Ubisoft Annecy, Bucharest, Kiev, Montreal, Montpellier, Shanghai, Singapore, Sofia, Toronto studios","Ubisoft Quebec, in collaboration with Ubisoft Annecy, Bucharest, Kiev, Montreal, Montpellier, Shanghai, Singapore, Sofia, Toronto studios : Negative = 3, Neutral = 0, Positive = 0"
Ubisoft Reflections,"Ubisoft Reflections : Negative = 1, Neutral = 0, Positive = 0"
Ubisoft Romania,"Ubisoft Romania : Negative = 2, Neutral = 0, Positive = 0"
Ubisoft Sofia,"Ubisoft Sofia : Negative = 0, Neutral = 1, Positive = 1"
"Ubisoft Sofia,Ubisoft Kiev","Ubisoft Sofia,Ubisoft Kiev : Negative = 4, Neutral = 0, Positive = 1"
Ubisoft Toronto,"Ubisoft Toronto : Negative = 12, Neutral = 4, Positive = 4"
Ultra Runaway Games,"Ultra Runaway Games : Negative = 1, Neutral = 0, Positive = 0"
Ultravision Interactive,"Ultravision Interactive : Negative = 1, Neutral = 0, Positive = 0"
Undead Labs,"Undead Labs : Negative = 49, Neutral = 25, Positive = 7"
Underdog Games,"Underdog Games : Negative = 0, Neutral = 0, Positive = 1"
Unfinished Pixel,"Unfinished Pixel : Negative = 2, Neutral = 1, Positive = 0"
Unicorn Games Studio,"Unicorn Games Studio : Negative = 0, Neutral = 1, Positive = 0"
Unigine LLC.,"Unigine LLC. : Negative = 1, Neutral = 0, Positive = 0"
United Front Games,"United Front Games : Negative = 1, Neutral = 0, Positive = 0"
"United Front Games,Feral Interactive (Mac)","United Front Games,Feral Interactive (Mac) : Negative = 4, Neutral = 1, Positive = 2"
United Independent Entertainment GmbH,"United Independent Entertainment GmbH : Negative = 2, Neutral = 6, Positive = 2"
"United Independent Entertainment GmbH,Actalogic","United Independent Entertainment GmbH,Actalogic : Negative = 0, Neutral = 1, Positive = 0"
Unknown Worlds Entertainment,"Unknown Worlds Entertainment : Negative = 24, Neutral = 7, Positive = 22"
Unwonted Studios,"Unwonted Studios : Negative = 1, Neutral = 0, Positive = 0"
"Upper One Games,E-Line Media","Upper One Games,E-Line Media : Negative = 1, Neutral = 1, Positive = 0"
Uppercut Games Pty Ltd,"Uppercut Games Pty Ltd : Negative = 0, Neutral = 1, Positive = 0"
Urban Games,"Urban Games : Negative = 3, Neutral = 0, Positive = 0"
VIS - Visual Imagination Software,"VIS - Visual Imagination Software : Negative = 2, Neutral = 1, Positive = 0"
VIS Interactive,"VIS Interactive : Negative = 0, Neutral = 1, Positive = 0"
VStep,"VStep : Negative = 2, Neutral = 2, Positive = 0"
Vae Victis Games,"Vae Victis Games : Negative = 2, Neutral = 0, Positive = 1"
Vagabond Dog,"Vagabond Dog : Negative = 3, Neutral = 1, Positive = 2"
Valve,"Valve : Negative = 4815, Neutral = 1360, Positive = 2196"
Vanguard Games,"Vanguard Games : Negative = 1, Neutral = 0, Positive = 0"
"Vanguard Games,343 Industries","Vanguard Games,343 Industries : Negative = 17, Neutral = 0, Positive = 1"
"Vblank Entertainment, Inc.","Vblank Entertainment, Inc. : Negative = 4, Neutral = 3, Positive = 1"
"Vectorpark, Inc.","Vectorpark, Inc. : Negative = 1, Neutral = 0, Positive = 0"
Vertigo Games,"Vertigo Games : Negative = 0, Neutral = 1, Positive = 0"
Vertigo Gaming Inc.,"Vertigo Gaming Inc. : Negative = 7, Neutral = 2, Positive = 1"
Very Simple Idea Studios,"Very Simple Idea Studios : Negative = 1, Neutral = 0, Positive = 0"
"Vicious Cycle Software, Inc.","Vicious Cycle Software, Inc. : Negative = 2, Neutral = 0, Positive = 0"
Vigil Games,"Vigil Games : Negative = 7, Neutral = 0, Positive = 1"
"Ville Mönkkönen,Anne Mönkkönen","Ville Mönkkönen,Anne Mönkkönen : Negative = 1, Neutral = 0, Positive = 0"
Vine,"Vine : Negative = 3, Neutral = 0, Positive = 0"
"Virgin Interactive Entertainment,PriitK","Virgin Interactive Entertainment,PriitK : Negative = 1, Neutral = 0, Positive = 0"
"Virtual Basement LLC,Code Headquarters LLC","Virtual Basement LLC,Code Headquarters LLC : Negative = 3, Neutral = 1, Positive = 1"
Visceral Games,"Visceral Games : Negative = 1, Neutral = 0, Positive = 2"
Visual Concepts,"Visual Concepts : Negative = 1, Neutral = 4, Positive = 0"
VisualArts/Key,"VisualArts/Key : Negative = 6, Neutral = 0, Positive = 0"
Vitali Kirpu,"Vitali Kirpu : Negative = 15, Neutral = 13, Positive = 4"
Vivid Games S.A.,"Vivid Games S.A. : Negative = 0, Neutral = 1, Positive = 0"
Vlambeer,"Vlambeer : Negative = 48, Neutral = 21, Positive = 12"
"Vlambeer,Croteam","Vlambeer,Croteam : Negative = 0, Neutral = 1, Positive = 0"
Vogelsap,"Vogelsap : Negative = 0, Neutral = 1, Positive = 0"
Volition,"Volition : Negative = 106, Neutral = 43, Positive = 42"
"Volition, Inc.","Volition, Inc. : Negative = 1, Neutral = 1, Positive = 1"
"Volition,Reactor Zero,THQ Nordic","Volition,Reactor Zero,THQ Nordic : Negative = 10, Neutral = 3, Positive = 1"
Vortal Storm,"Vortal Storm : Negative = 5, Neutral = 1, Positive = 2"
Vostok Games,"Vostok Games : Negative = 7, Neutral = 5, Positive = 7"
Voxler Games,"Voxler Games : Negative = 1, Neutral = 0, Positive = 0"
WARTEAM,"WARTEAM : Negative = 11, Neutral = 6, Positive = 7"
"WB Games Montreal,Splash Damage","WB Games Montreal,Splash Damage : Negative = 39, Neutral = 12, Positive = 15"
WRF Studios,"WRF Studios : Negative = 1, Neutral = 0, Positive = 0"
WZOGI,"WZOGI : Negative = 0, Neutral = 1, Positive = 0"
Wadjet Eye Games,"Wadjet Eye Games : Negative = 0, Neutral = 0, Positive = 1"
Wales Interactive,"Wales Interactive : Negative = 0, Neutral = 0, Positive = 1"
Walter Machado,"Walter Machado : Negative = 1, Neutral = 1, Positive = 0"
Wanako Games,"Wanako Games : Negative = 0, Neutral = 1, Positive = 0"
WayForward,"WayForward : Negative = 5, Neutral = 1, Positive = 0"
"WayForward,Abstraction Games","WayForward,Abstraction Games : Negative = 4, Neutral = 0, Positive = 0"
WhiteMoon Dreams,"WhiteMoon Dreams : Negative = 1, Neutral = 0, Positive = 0"
